NULL;FCC A 0004-00003408;GF1;90;296796.15
NULL;FCC A 0004-00003405;GDM25;70;379848
NULL;FCC A 0004-00003406;GC5;15;247330.13
NULL;FCC A 0004-00003406;GC1;40;131909.4
NULL;FCC A 0004-00003406;GC1;5;16488.68
NULL;FCC A 0004-00003409;GSSR;10;90288
NULL;FCC A 0004-00003409;FV60;9;34719.84
NULL;FCC A 0004-00003409;GDM25;10;57456
NULL;FCC A 0004-00003409;BCH540;30;221616
NULL;FCC A 0004-00003409;GC40;2;10506.24
NULL;FCC A 0004-00003405;GDD25;70;347289.6
NULL;FCC A 0004-00003405;FDL60;35;135660
NULL;FCC A 0004-00003404;PV5;17;140153.73
NULL;FCC A 0004-00003404;GF5;18;296796.15
NULL;FCC A 0004-00003405;BV540;180;976752
NULL;FCC A 0004-00003405;GDF25;70;347289.6
NULL;FCC A 0004-00003405;FV16;70;244188
NULL;FCC A 0004-00003405;GDC25;35;173644.8
NULL;FCC A 0004-00003399;FCH60MA;18;76527.5
NULL;FCC A 0004-00003399;FV16MA;130;307054.8
NULL;FCC A 0004-00003399;GDF25MA;130;435183.84
NULL;FCC A 0004-00003399;FCH60MA;17;72275.98
NULL;FCC A 0004-00003402;FCH60;8;37791.36
NULL;FCC A 0004-00003404;PCH5;30;400439.25
NULL;FCC A 0004-00003404;GN5;30;494660.25
NULL;FCC A 0004-00003404;GD5;30;494660.25
NULL;FCC A 0004-00003404;GA5;15;247330.12
NULL;FCC A 0004-00003408;PV1;40;65954.7
NULL;FCC A 0004-00003408;GFRA1;43;141802.61
NULL;FCC A 0004-00003408;GFRA1;2;6595.47
NULL;FCC A 0004-00003405;BL540;180;1116288
NULL;FCC A 0004-00003405;BV540;360;1953504
NULL;FCC A 0004-00003405;BV540;180;976752
NULL;FCC A 0004-00003406;GF5;5;82443.37
NULL;FCC A 0004-00003406;GF5;10;164886.75
NULL;FCC A 0004-00003409;MCH100;15;196992
NULL;FCC A 0004-00003409;GDC25;10;52531.2
NULL;FCC A 0004-00003409;PCH90;5;29548.8
NULL;FCC A 0004-00003404;PF5;26;214352.77
NULL;FCC A 0004-00003404;BV5;85;667398.75
NULL;FCC A 0004-00003404;BN5;25;196293.75
NULL;FC A 0002-00038701;BL540;15;72433.44
NULL;FC A 0002-00038701;BV540;15;64385.28
NULL;FCC A 0004-00003402;MCH100;10;95644.8
NULL;FCC A 0004-00003402;PCH90;8;32752.51
NULL;FCC A 0004-00003402;MCH100;5;47822.4
NULL;FCC A 0004-00003404;PH;190;447549.75
NULL;FCC A 0004-00003404;CP;200;157035
NULL;FCC A 0004-00003404;PV5;28;230841.45
NULL;FCC A 0004-00003404;GF5;12;197864.1
NULL;FCC A 0004-00003404;GFRA5;15;247330.13
NULL;FCC A 0004-00003404;PH;10;23555.25
NULL;FCC A 0004-00003402;PDL90;25;60361.2
NULL;FCC A 0004-00003402;PV90;25;51175.8
NULL;FCC A 0004-00003404;A I;900;918654.75
NULL;FCC A 0004-00003404;PF5;19;156642.42
NULL;FCC A 0004-00003404;BV5;5;39258.75
NULL;FCC A 0004-00003404;BN5;5;39258.75
NULL;FCC A 0004-00003402;FV60;30;86605.2
NULL;FCC A 0004-00003402;GM40;20;79704
NULL;FCC A 0004-00003402;GDM25;40;180662.4
NULL;FCC A 0004-00003404;FCH5;30;553548.38
NULL;FCC A 0004-00003404;GC5;45;741990.38
NULL;FCC A 0004-00003404;GM5;30;494660.25
NULL;FC A 0002-00038701;BCH540;15;84505.68
NULL;FC A 0002-00038701;BN540;20;85847.04
NULL;FCC A 0004-00003397;BN540MA;180;695361.03
NULL;FCC A 0004-00003397;BCH540MA;180;912661.34
NULL;FCC A 0004-00003397;BV540MA;240;927148.03
NULL;FCC A 0004-00003411;FV1;7;21984.9
NULL;FCC A 0004-00003411;FV1;93;292085.1
NULL;FCC A 0004-00003397;BL540MA;180;782281.15
NULL;FCC A 0004-00003411;GC1;90;296796.15
NULL;FCC A 0004-00003411;GF1;40;131909.4
NULL;FCC A 0004-00003411;PV1;160;263818.8
NULL;FC A 0002-00038705;BL540MA;15;65190.1
NULL;FCC A 0004-00003418;FDL60;10;31492.8
NULL;FC A 0002-00038705;BN540MA;15;57946.75
NULL;FC A 0002-00038706;BL540;25;120722.4
NULL;FCC A 0004-00003418;GFRA40;25;103615.2
NULL;FC A 0002-00038706;BCH540;10;56337.12
NULL;FC A 0002-00038706;BN540;6;25754.11
NULL;FC A 0002-00038706;BN540;19;81554.69
NULL;FCC A 0004-00003418;FV60;30;86605.2
NULL;FCC A 0004-00003418;GC40;15;59778
NULL;FCC A 0004-00003418;GD40;15;59778
NULL;FCC A 0004-00003418;GF40;20;79704
NULL;FCC A 0004-00003418;GM40;10;39852
NULL;FC A 0002-00038705;BV540MA;50;193155.84
NULL;FC A 0002-00038708;GC5;18;216278.13
NULL;NCM A 0004-00000819;FV60;-2;-7715.52
NULL;FCC A 0004-00003423;FV60MA;40;103926.24
NULL;FCC A 0004-00003423;GFRA40MA;100;373014.72
NULL;FCC A 0004-00003421;BN540;35;150232.32
NULL;FC A 0002-00038710;GF40;9;35866.8
NULL;FC A 0002-00038710;GF40;26;103615.2
NULL;FCC A 0004-00003421;BW425;25;147549.6
NULL;FCC A 0004-00003422;CD180MA;40;210418.56
NULL;FCC A 0004-00003421;BL540;32;154524.67
NULL;FCC A 0004-00003421;BV540;3;12877.06
NULL;FCC A 0004-00003421;BL540;3;14486.69
NULL;FCC A 0004-00003421;BV540;77;330511.1
NULL;FCC A 0004-00003422;FV60MA;80;207852.48
NULL;FC A 0002-00038708;GA5;4;48061.81
NULL;FCC A 0004-00003423;FCH60MA;20;85030.56
NULL;FC A 0002-00038708;BV5;5;29305.98
